Символ;Вес 1;Вес 2;Вес 3;Вес 4;Удельный вес 1;Удельный вес 2;Удельный вес 3;Удельный вес 4;Центр X;Центр Y;Норм. центр X;Норм. центр Y;Момент X;Момент Y;Норм. момент X;Норм. момент Y
а;0;0;111;12;0.0;0.0;0.16420118343195267;0.01775147928994083;17.21951219512195;41.22764227642276;0.33114446529080677;0.7928392745465916;4667.626016260161;6307.073170731706;1.7261930533506513;2.3324974743830276
б;20;8;78;26;0.029585798816568046;0.011834319526627219;0.11538461538461539;0.038461538461538464;18.62878787878788;35.24242424242424;0.35824592074592077;0.6777389277389277;11156.242424242424;7518.810606060606;4.125829298906222;2.7806252241348397
в;0;0;106;0;0.0;0.0;0.15680473372781065;0.0;14.88679245283019;40.216981132075475;0.2862844702467344;0.7734034833091438;3330.009433962264;3986.6415094339627;1.2315123646310149;1.4743496706486547
г;0;0;55;0;0.0;0.0;0.08136094674556213;0.0;14.581818181818182;38.09090909090909;0.2804195804195804;0.7325174825174826;3072.545454545455;2357.3818181818183;1.1362963959117807;0.8718128025820334
д;6;1;84;42;0.008875739644970414;0.0014792899408284023;0.1242603550295858;0.0621301775147929;19.36842105263158;37.68421052631579;0.3724696356275304;0.7246963562753036;6014.736842105263;8242.947368421053;2.2243849268140767;3.0484272812208038
е;0;0;88;2;0.0;0.0;0.1301775147928994;0.0029585798816568047;13.911111111111111;41.05555555555556;0.2675213675213675;0.7895299145299146;3882.7222222222217;3407.2888888888892;1.4359179815910583;1.2600920447074295
ё;8;5;88;2;0.011834319526627219;0.0073964497041420114;0.1301775147928994;0.0029585798816568047;14.932038834951456;38.71844660194175;0.2871545929798357;0.7445855115758029;7780.834951456308;4440.524271844661;2.8775277187338415;1.642205721836043
ж;0;0;69;129;0.0;0.0;0.10207100591715976;0.1908284023668639;28.904040404040405;39.56060606060606;0.5558469308469308;0.7607808857808858;7572.772727272728;19891.176767676763;2.800581629908553;7.356204425915963
з;0;0;65;0;0.0;0.0;0.09615384615384616;0.0;17.661538461538463;40.41538461538462;0.3396449704142012;0.7772189349112426;3251.7846153846153;904.553846153846;1.2025830678197542;0.3345243513882567
и;0;0;114;14;0.0;0.0;0.16863905325443787;0.020710059171597635;17.09375;39.6640625;0.32872596153846156;0.7627704326923077;5570.5546875;5766.875;2.0601163785133134;2.1327200443786984
й;9;0;115;15;0.013313609467455622;0.0;0.17011834319526628;0.022189349112426034;17.309352517985612;38.49640287769784;0.33287216380741563;0.7403154399557277;8236.748201438848;5943.697841726619;3.0461346898812307;2.1981131071474183
к;0;0;97;7;0.0;0.0;0.14349112426035504;0.010355029585798817;15.26923076923077;40.97115384615385;0.2936390532544379;0.7879068047337279;5072.913461538462;3672.461538461538;1.8760774635867092;1.358158852981338
л;0;0;86;0;0.0;0.0;0.12721893491124261;0.0;18.197674418604652;39.604651162790695;0.3499552772808587;0.7616279069767441;5040.558139534884;2339.6395348837214;1.86411173799367;0.8652513072794827
м;0;0;64;64;0.0;0.0;0.09467455621301775;0.09467455621301775;23.609375;39.9765625;0.4540264423076923;0.7687800480769231;5522.9296875;8800.46875;2.0425035826553253;3.254611224112426
н;0;0;119;10;0.0;0.0;0.1760355029585799;0.014792899408284023;17.155038759689923;40.116279069767444;0.3299045915324985;0.7714669051878354;5005.2558139534885;5352.899224806201;1.8510561442135682;1.9796224943809917
